CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",Unknown,19
2018,CA-524,"Yuba, Sutter Counties CoC",25-34,*
2018,CA-524,"Yuba, Sutter Counties CoC",45-54,*
2018,CA-524,"Yuba, Sutter Counties CoC",65+,*
2018,CA-524,"Yuba, Sutter Counties CoC",Under 18,*
2018,CA-525,El Dorado County CoC,18-24,*
2018,CA-525,El Dorado County CoC,25-34,*
2018,CA-525,El Dorado County CoC,35-44,*
2018,CA-525,El Dorado County CoC,45-54,*
2018,CA-525,El Dorado County CoC,55-64,*
2018,CA-525,El Dorado County CoC,65+,*
2018,CA-525,El Dorado County CoC,Under 18,228
2018,CA-525,El Dorado County CoC,Unknown,*
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",18-24,48
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",25-34,119
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",35-44,87
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",45-54,78
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",55-64,73
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",65+,27
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Under 18,252
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Unknown,15
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",35-44,*
2018,CA-531,Nevada County CoC,18-24,60
2018,CA-531,Nevada County CoC,25-34,82
2018,CA-531,Nevada County CoC,35-44,115
2018,CA-531,Nevada County CoC,45-54,108
2018,CA-531,Nevada County CoC,55-64,102
2018,CA-531,Nevada County CoC,65+,40
2018,CA-531,Nevada County CoC,Under 18,52
2018,CA-531,Nevada County CoC,Unknown,*
2018,CA-600,Los Angeles County CoC,18-24,7650
2018,CA-600,Los Angeles County CoC,25-34,12211
2018,CA-600,Los Angeles County CoC,35-44,10730
2018,CA-600,Los Angeles County CoC,45-54,11541
2018,CA-600,Los Angeles County CoC,55-64,10038
2018,CA-600,Los Angeles County CoC,65+,3128
2018,CA-600,Los Angeles County CoC,Under 18,15407
2018,CA-600,Los Angeles County CoC,Unknown,4880
2018,CA-601,San Diego County CoC,18-24,964
2018,CA-601,San Diego County CoC,25-34,2298
2018,CA-601,San Diego County CoC,35-44,2299
2018,CA-601,San Diego County CoC,45-54,2707
2018,CA-601,San Diego County CoC,55-64,2763
2018,CA-601,San Diego County CoC,65+,813
2018,CA-601,San Diego County CoC,Under 18,3301
2018,CA-601,San Diego County CoC,Unknown,290
2018,CA-602,Orange County CoC,18-24,580
2018,CA-602,Orange County CoC,25-34,1570
2018,CA-602,Orange County CoC,35-44,1471
2018,CA-602,Orange County CoC,45-54,1641
2018,CA-602,Orange County CoC,55-64,1270
2018,CA-602,Orange County CoC,65+,764
2018,CA-602,Orange County CoC,Under 18,2971
2018,CA-602,Orange County CoC,Unknown,1911
2018,CA-603,Santa Barbara County CoC,18-24,171
2018,CA-603,Santa Barbara County CoC,25-34,444
2018,CA-603,Santa Barbara County CoC,35-44,426
2018,CA-603,Santa Barbara County CoC,45-54,448
2018,CA-603,Santa Barbara County CoC,55-64,481
2018,CA-603,Santa Barbara County CoC,65+,191
2018,CA-603,Santa Barbara County CoC,Under 18,518
2018,CA-603,Santa Barbara County CoC,Unknown,42
2018,CA-604,Kern County CoC,18-24,338
2018,CA-604,Kern County CoC,25-34,762
2018,CA-604,Kern County CoC,35-44,576
2018,CA-604,Kern County CoC,45-54,557
2018,CA-604,Kern County CoC,55-64,441
2018,CA-604,Kern County CoC,65+,116
2018,CA-604,Kern County CoC,Under 18,1980
2018,CA-604,Kern County CoC,Unknown,114
2018,CA-606,Long Beach CoC (Los Angeles County),18-24,123
2018,CA-606,Long Beach CoC (Los Angeles County),25-34,348
2018,CA-606,Long Beach CoC (Los Angeles County),35-44,305
2018,CA-606,Long Beach CoC (Los Angeles County),45-54,417
2018,CA-606,Long Beach CoC (Los Angeles County),55-64,494
2018,CA-606,Long Beach CoC (Los Angeles County),65+,179
2018,CA-606,Long Beach CoC (Los Angeles County),Under 18,703
2018,CA-606,Long Beach CoC (Los Angeles County),Unknown,20
2018,CA-607,Pasadena CoC (Los Angeles County),18-24,105
2018,CA-607,Pasadena CoC (Los Angeles County),25-34,225
2018,CA-607,Pasadena CoC (Los Angeles County),35-44,210
2018,CA-607,Pasadena CoC (Los Angeles County),45-54,272
2018,CA-607,Pasadena CoC (Los Angeles County),55-64,261
2018,CA-607,Pasadena CoC (Los Angeles County),65+,136
2018,CA-607,Pasadena CoC (Los Angeles County),Under 18,364
2018,CA-607,Pasadena CoC (Los Angeles County),Unknown,18
2018,CA-608,Riverside County CoC,18-24,668
2018,CA-608,Riverside County CoC,25-34,1251
2018,CA-608,Riverside County CoC,35-44,1103
2018,CA-608,Riverside County CoC,45-54,1163
2018,CA-608,Riverside County CoC,55-64,990
2018,CA-608,Riverside County CoC,65+,293
2018,CA-608,Riverside County CoC,Under 18,1647
2018,CA-608,Riverside County CoC,Unknown,104
2018,CA-609,San Bernardino County CoC,18-24,516
2018,CA-609,San Bernardino County CoC,25-34,1037
2018,CA-609,San Bernardino County CoC,35-44,899
2018,CA-609,San Bernardino County CoC,45-54,671
2018,CA-609,San Bernardino County CoC,55-64,539
2018,CA-609,San Bernardino County CoC,65+,161
2018,CA-609,San Bernardino County CoC,Under 18,3490
2018,CA-609,San Bernardino County CoC,Unknown,135
2018,CA-611,Ventura County CoC,18-24,112
2018,CA-611,Ventura County CoC,25-34,226
2018,CA-611,Ventura County CoC,35-44,278
2018,CA-611,Ventura County CoC,45-54,290
2018,CA-611,Ventura County CoC,55-64,280
2018,CA-611,Ventura County CoC,65+,97
2018,CA-611,Ventura County CoC,Under 18,443
2018,CA-611,Ventura County CoC,Unknown,21
2018,CA-612,Glendale CoC (Los Angeles County),18-24,23
2018,CA-612,Glendale CoC (Los Angeles County),25-34,82
2018,CA-612,Glendale CoC (Los Angeles County),35-44,61
2018,CA-612,Glendale CoC (Los Angeles County),45-54,91
2018,CA-612,Glendale CoC (Los Angeles County),55-64,64
2018,CA-612,Glendale CoC (Los Angeles County),65+,24
2018,CA-612,Glendale CoC (Los Angeles County),Under 18,150
2018,CA-612,Glendale CoC (Los Angeles County),Unknown,*
2018,CA-613,Imperial County CoC,18-24,80
2018,CA-613,Imperial County CoC,25-34,142
2018,CA-613,Imperial County CoC,35-44,111
2018,CA-613,Imperial County CoC,45-54,99
2018,CA-613,Imperial County CoC,55-64,72
2018,CA-613,Imperial County CoC,65+,46
2018,CA-613,Imperial County CoC,Under 18,310
2018,CA-613,Imperial County CoC,Unknown,*
2018,CA-614,San Luis Obispo County CoC,18-24,136
2018,CA-614,San Luis Obispo County CoC,25-34,318
2018,CA-614,San Luis Obispo County CoC,35-44,245
2018,CA-614,San Luis Obispo County CoC,45-54,239
2018,CA-614,San Luis Obispo County CoC,55-64,213
2018,CA-614,San Luis Obispo County CoC,65+,100
2018,CA-614,San Luis Obispo County CoC,Under 18,536
2018,CA-614,San Luis Obispo County CoC,Unknown,24
2019,All,California,18-24,19691
2019,All,California,25-34,38418
2019,All,California,35-44,35631
2019,All,California,45-54,34739
2019,All,California,55-64,32111
2019,All,California,65+,11173
2019,All,California,Under 18,59145
2019,All,California,Unknown,9996
2019,CA-500,Santa Clara County CoC,18-24,775
2019,CA-500,Santa Clara County CoC,25-34,1679
2019,CA-500,Santa Clara County CoC,35-44,1702
2019,CA-500,Santa Clara County CoC,45-54,1676
2019,CA-500,Santa Clara County CoC,55-64,1668
2019,CA-500,Santa Clara County CoC,65+,589
2019,CA-500,Santa Clara County CoC,Under 18,2548
2019,CA-500,Santa Clara County CoC,Unknown,157
2019,CA-501,San Francisco CoC,18-24,879
2019,CA-501,San Francisco CoC,25-34,1220
2019,CA-501,San Francisco CoC,35-44,1135
2019,CA-501,San Francisco CoC,45-54,978
2019,CA-501,San Francisco CoC,55-64,846
2019,CA-501,San Francisco CoC,65+,323
2019,CA-501,San Francisco CoC,Under 18,2603
2019,CA-501,San Francisco CoC,Unknown,182
2019,CA-502,Alameda County CoC,18-24,764
2019,CA-502,Alameda County CoC,25-34,1143
2019,CA-502,Alameda County CoC,35-44,1097
2019,CA-502,Alameda County CoC,45-54,1150
2019,CA-502,Alameda County CoC,55-64,1228
2019,CA-502,Alameda County CoC,65+,463
2019,CA-502,Alameda County CoC,Under 18,1751
2019,CA-502,Alameda County CoC,Unknown,113
2019,CA-503,Sacramento County CoC,18-24,1103
2019,CA-503,Sacramento County CoC,25-34,1550
2019,CA-503,Sacramento County CoC,35-44,1529
2019,CA-503,Sacramento County CoC,45-54,1607
2019,CA-503,Sacramento County CoC,55-64,1360
2019,CA-503,Sacramento County CoC,65+,405
2019,CA-503,Sacramento County CoC,Under 18,3890
2019,CA-503,Sacramento County CoC,Unknown,186
2019,CA-504,Sonoma County CoC,18-24,299
2019,CA-504,Sonoma County CoC,25-34,540
2019,CA-504,Sonoma County CoC,35-44,613
2019,CA-504,Sonoma County CoC,45-54,625
2019,CA-504,Sonoma County CoC,55-64,629
2019,CA-504,Sonoma County CoC,65+,265
2019,CA-504,Sonoma County CoC,Under 18,838
2019,CA-504,Sonoma County CoC,Unknown,48
2019,CA-505,Contra Costa County CoC,18-24,402
2019,CA-505,Contra Costa County CoC,25-34,1106
2019,CA-505,Contra Costa County CoC,35-44,1018
2019,CA-505,Contra Costa County CoC,45-54,1004
2019,CA-505,Contra Costa County CoC,55-64,1003
2019,CA-505,Contra Costa County CoC,65+,402
2019,CA-505,Contra Costa County CoC,Under 18,1223
2019,CA-505,Contra Costa County CoC,Unknown,61
2019,CA-506,"Monterey, San Benito Counties CoC",18-24,114
2019,CA-506,"Monterey, San Benito Counties CoC",25-34,269
2019,CA-506,"Monterey, San Benito Counties CoC",35-44,207
2019,CA-506,"Monterey, San Benito Counties CoC",45-54,211
2019,CA-506,"Monterey, San Benito Counties CoC",55-64,233
2019,CA-506,"Monterey, San Benito Counties CoC",65+,88
2019,CA-506,"Monterey, San Benito Counties CoC",Under 18,624
2019,CA-506,"Monterey, San Benito Counties CoC",Unknown,37
2019,CA-507,Marin County CoC,18-24,75
2019,CA-507,Marin County CoC,25-34,201
2019,CA-507,Marin County CoC,35-44,190
2019,CA-507,Marin County CoC,45-54,186
2019,CA-507,Marin County CoC,55-64,193
2019,CA-507,Marin County CoC,65+,103
2019,CA-507,Marin County CoC,Under 18,324
2019,CA-507,Marin County CoC,Unknown,17
2019,CA-508,Santa Cruz County CoC,18-24,127
2019,CA-508,Santa Cruz County CoC,25-34,363
2019,CA-508,Santa Cruz County CoC,35-44,374
2019,CA-508,Santa Cruz County CoC,45-54,358
2019,CA-508,Santa Cruz County CoC,55-64,328
2019,CA-508,Santa Cruz County CoC,65+,152
2019,CA-508,Santa Cruz County CoC,Under 18,491
2019,CA-508,Santa Cruz County CoC,Unknown,74
2019,CA-509,Mendocino County CoC,18-24,66
2019,CA-509,Mendocino County CoC,25-34,132
2019,CA-509,Mendocino County CoC,35-44,141
2019,CA-509,Mendocino County CoC,45-54,125
2019,CA-509,Mendocino County CoC,55-64,118
2019,CA-509,Mendocino County CoC,65+,36
2019,CA-509,Mendocino County CoC,Under 18,109
2019,CA-509,Mendocino County CoC,Unknown,20
2019,CA-510,Stanislaus County CoC,18-24,550
2019,CA-510,Stanislaus County CoC,25-34,1016
2019,CA-510,Stanislaus County CoC,35-44,1023
2019,CA-510,Stanislaus County CoC,45-54,800
2019,CA-510,Stanislaus County CoC,55-64,664
2019,CA-510,Stanislaus County CoC,65+,201
2019,CA-510,Stanislaus County CoC,Under 18,1992
2019,CA-510,Stanislaus County CoC,Unknown,75
2019,CA-511,San Joaquin County CoC,18-24,878
2019,CA-511,San Joaquin County CoC,25-34,1896
2019,CA-511,San Joaquin County CoC,35-44,1588
2019,CA-511,San Joaquin County CoC,45-54,1228
2019,CA-511,San Joaquin County CoC,55-64,907
2019,CA-511,San Joaquin County CoC,65+,309
2019,CA-511,San Joaquin County CoC,Under 18,4151
2019,CA-511,San Joaquin County CoC,Unknown,188
2019,CA-512,San Mateo County CoC,18-24,282
2019,CA-512,San Mateo County CoC,25-34,718
2019,CA-512,San Mateo County CoC,35-44,645
2019,CA-512,San Mateo County CoC,45-54,704
2019,CA-512,San Mateo County CoC,55-64,657
2019,CA-512,San Mateo County CoC,65+,242
2019,CA-512,San Mateo County CoC,Under 18,1125
2019,CA-512,San Mateo County CoC,Unknown,69
2019,CA-513,"Kings, Tulare Counties CoC",18-24,330
2019,CA-513,"Kings, Tulare Counties CoC",25-34,640
2019,CA-513,"Kings, Tulare Counties CoC",35-44,621
2019,CA-513,"Kings, Tulare Counties CoC",45-54,432
2019,CA-513,"Kings, Tulare Counties CoC",55-64,290
2019,CA-513,"Kings, Tulare Counties CoC",65+,79
2019,CA-513,"Kings, Tulare Counties CoC",Under 18,1032
2019,CA-513,"Kings, Tulare Counties CoC",Unknown,45
2019,CA-514,"Fresno, Madera Counties CoC",18-24,243
2019,CA-514,"Fresno, Madera Counties CoC",25-34,337
2019,CA-514,"Fresno, Madera Counties CoC",35-44,408
2019,CA-514,"Fresno, Madera Counties CoC",45-54,439
2019,CA-514,"Fresno, Madera Counties CoC",55-64,438
2019,CA-514,"Fresno, Madera Counties CoC",65+,130
2019,CA-514,"Fresno, Madera Counties CoC",Under 18,650
2019,CA-514,"Fresno, Madera Counties CoC",Unknown,38
2019,CA-515,Placer County CoC,18-24,99
2019,CA-515,Placer County CoC,25-34,302
2019,CA-515,Placer County CoC,35-44,281
2019,CA-515,Placer County CoC,45-54,293
2019,CA-515,Placer County CoC,55-64,238
2019,CA-515,Placer County CoC,65+,87
2019,CA-515,Placer County CoC,Under 18,392
2019,CA-515,Placer County CoC,Unknown,13
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",18-24,48
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",25-34,142
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",35-44,109
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",45-54,94
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",55-64,115
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",65+,43
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Under 18,129
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Unknown,177
2019,CA-517,Napa County CoC,18-24,62
2019,CA-517,Napa County CoC,25-34,183
2019,CA-517,Napa County CoC,35-44,168
2019,CA-517,Napa County CoC,45-54,182
2019,CA-517,Napa County CoC,55-64,177
2019,CA-517,Napa County CoC,65+,55
2019,CA-517,Napa County CoC,Under 18,133
2019,CA-517,Napa County CoC,Unknown,11
2019,CA-518,Solano County CoC,18-24,65
2019,CA-518,Solano County CoC,25-34,196
2019,CA-518,Solano County CoC,35-44,194
2019,CA-518,Solano County CoC,45-54,187
2019,CA-518,Solano County CoC,55-64,215
2019,CA-518,Solano County CoC,65+,75
2019,CA-518,Solano County CoC,Under 18,246
2019,CA-518,Solano County CoC,Unknown,15
2019,CA-519,Butte County CoC,18-24,126
2019,CA-519,Butte County CoC,25-34,299
2019,CA-519,Butte County CoC,35-44,291
2019,CA-519,Butte County CoC,45-54,294
2019,CA-519,Butte County CoC,55-64,300
2019,CA-519,Butte County CoC,65+,139
2019,CA-519,Butte County CoC,Under 18,303
2019,CA-519,Butte County CoC,Unknown,26
2019,CA-520,Merced County CoC,18-24,288
2019,CA-520,Merced County CoC,25-34,520
2019,CA-520,Merced County CoC,35-44,463
2019,CA-520,Merced County CoC,45-54,302
2019,CA-520,Merced County CoC,55-64,270
2019,CA-520,Merced County CoC,65+,70
2019,CA-520,Merced County CoC,Under 18,1163
2019,CA-520,Merced County CoC,Unknown,58
2019,CA-521,Yolo County CoC,18-24,99
2019,CA-521,Yolo County CoC,25-34,194
2019,CA-521,Yolo County CoC,35-44,202
2019,CA-521,Yolo County CoC,45-54,119
2019,CA-521,Yolo County CoC,55-64,122
2019,CA-521,Yolo County CoC,65+,47
2019,CA-521,Yolo County CoC,Under 18,420
2019,CA-521,Yolo County CoC,Unknown,20
2019,CA-522,Humboldt County CoC,18-24,205
2019,CA-522,Humboldt County CoC,25-34,234
2019,CA-522,Humboldt County CoC,35-44,257
2019,CA-522,Humboldt County CoC,45-54,257
2019,CA-522,Humboldt County CoC,55-64,221
2019,CA-522,Humboldt County CoC,65+,84
2019,CA-522,Humboldt County CoC,Under 18,324
2019,CA-522,Humboldt County CoC,Unknown,48
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",18-24,43
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",25-34,66
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",35-44,33
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",45-54,18
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",55-64,16
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",65+,*
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",Under 18,189
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",Unknown,22
2019,CA-524,"Yuba, Sutter Counties CoC",18-24,*
2019,CA-524,"Yuba, Sutter Counties CoC",25-34,*
2019,CA-524,"Yuba, Sutter Counties CoC",35-44,*
2019,CA-524,"Yuba, Sutter Counties CoC",45-54,*
2019,CA-524,"Yuba, Sutter Counties CoC",55-64,*
2019,CA-524,"Yuba, Sutter Counties CoC",65+,*
2019,CA-524,"Yuba, Sutter Counties CoC",Under 18,*
2019,CA-525,El Dorado County CoC,18-24,*
2019,CA-525,El Dorado County CoC,25-34,12
2019,CA-525,El Dorado County CoC,35-44,*
2019,CA-525,El Dorado County CoC,45-54,12
2019,CA-525,El Dorado County CoC,55-64,11
2019,CA-525,El Dorado County CoC,65+,*
2019,CA-525,El Dorado County CoC,Under 18,166
2019,CA-525,El Dorado County CoC,Unknown,*
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",18-24,48
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",25-34,92
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",35-44,104
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",45-54,87
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",55-64,81
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",65+,32
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Under 18,211
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Unknown,*
2019,CA-531,Nevada County CoC,18-24,56
2019,CA-531,Nevada County CoC,25-34,117
2019,CA-531,Nevada County CoC,35-44,118
2019,CA-531,Nevada County CoC,45-54,129
2019,CA-531,Nevada County CoC,55-64,139
2019,CA-531,Nevada County CoC,65+,48
2019,CA-531,Nevada County CoC,Under 18,29
2019,CA-531,Nevada County CoC,Unknown,*
2019,CA-600,Los Angeles County CoC,18-24,7977
2019,CA-600,Los Angeles County CoC,25-34,14633
2019,CA-600,Los Angeles County CoC,35-44,13052
2019,CA-600,Los Angeles County CoC,45-54,12951
2019,CA-600,Los Angeles County CoC,55-64,11610
2019,CA-600,Los Angeles County CoC,65+,3873
2019,CA-600,Los Angeles County CoC,Under 18,16836
2019,CA-600,Los Angeles County CoC,Unknown,6140
2019,CA-601,San Diego County CoC,18-24,967
2019,CA-601,San Diego County CoC,25-34,2502
2019,CA-601,San Diego County CoC,35-44,2479
2019,CA-601,San Diego County CoC,45-54,2833
2019,CA-601,San Diego County CoC,55-64,3038
2019,CA-601,San Diego County CoC,65+,959
2019,CA-601,San Diego County CoC,Under 18,3171
2019,CA-601,San Diego County CoC,Unknown,504
2019,CA-602,Orange County CoC,18-24,655
2019,CA-602,Orange County CoC,25-34,1933
2019,CA-602,Orange County CoC,35-44,1897
2019,CA-602,Orange County CoC,45-54,2049
2019,CA-602,Orange County CoC,55-64,1783
2019,CA-602,Orange County CoC,65+,606
2019,CA-602,Orange County CoC,Under 18,2864
2019,CA-602,Orange County CoC,Unknown,869
2019,CA-603,Santa Barbara County CoC,18-24,158
2019,CA-603,Santa Barbara County CoC,25-34,453
2019,CA-603,Santa Barbara County CoC,35-44,479
2019,CA-603,Santa Barbara County CoC,45-54,505
2019,CA-603,Santa Barbara County CoC,55-64,578
2019,CA-603,Santa Barbara County CoC,65+,222
2019,CA-603,Santa Barbara County CoC,Under 18,417
2019,CA-603,Santa Barbara County CoC,Unknown,39
2019,CA-604,Kern County CoC,18-24,372
2019,CA-604,Kern County CoC,25-34,715
2019,CA-604,Kern County CoC,35-44,610
2019,CA-604,Kern County CoC,45-54,522
2019,CA-604,Kern County CoC,55-64,453
2019,CA-604,Kern County CoC,65+,135
2019,CA-604,Kern County CoC,Under 18,2232
2019,CA-604,Kern County CoC,Unknown,141
2019,CA-606,Long Beach CoC (Los Angeles County),18-24,159
2019,CA-606,Long Beach CoC (Los Angeles County),25-34,445
2019,CA-606,Long Beach CoC (Los Angeles County),35-44,381
2019,CA-606,Long Beach CoC (Los Angeles County),45-54,482
2019,CA-606,Long Beach CoC (Los Angeles County),55-64,598
2019,CA-606,Long Beach CoC (Los Angeles County),65+,231
2019,CA-606,Long Beach CoC (Los Angeles County),Under 18,782
2019,CA-606,Long Beach CoC (Los Angeles County),Unknown,35
2019,CA-607,Pasadena CoC (Los Angeles County),18-24,145
2019,CA-607,Pasadena CoC (Los Angeles County),25-34,198
2019,CA-607,Pasadena CoC (Los Angeles County),35-44,215
2019,CA-607,Pasadena CoC (Los Angeles County),45-54,264
2019,CA-607,Pasadena CoC (Los Angeles County),55-64,320
2019,CA-607,Pasadena CoC (Los Angeles County),65+,150
2019,CA-607,Pasadena CoC (Los Angeles County),Under 18,257
2019,CA-607,Pasadena CoC (Los Angeles County),Unknown,52
2019,CA-608,Riverside County CoC,18-24,679
2019,CA-608,Riverside County CoC,25-34,1465
2019,CA-608,Riverside County CoC,35-44,1248
2019,CA-608,Riverside County CoC,45-54,1153
2019,CA-608,Riverside County CoC,55-64,988
2019,CA-608,Riverside County CoC,65+,379
2019,CA-608,Riverside County CoC,Under 18,2000
2019,CA-608,Riverside County CoC,Unknown,110
2019,CA-609,San Bernardino County CoC,18-24,617
2019,CA-609,San Bernardino County CoC,25-34,1202
2019,CA-609,San Bernardino County CoC,35-44,992
2019,CA-609,San Bernardino County CoC,45-54,761
2019,CA-609,San Bernardino County CoC,55-64,697
2019,CA-609,San Bernardino County CoC,65+,224
2019,CA-609,San Bernardino County CoC,Under 18,2909
2019,CA-609,San Bernardino County CoC,Unknown,333
2019,CA-611,Ventura County CoC,18-24,125
2019,CA-611,Ventura County CoC,25-34,250
2019,CA-611,Ventura County CoC,35-44,334
2019,CA-611,Ventura County CoC,45-54,349
2019,CA-611,Ventura County CoC,55-64,336
2019,CA-611,Ventura County CoC,65+,138
2019,CA-611,Ventura County CoC,Under 18,504
2019,CA-611,Ventura County CoC,Unknown,22
2019,CA-612,Glendale CoC (Los Angeles County),18-24,28
2019,CA-612,Glendale CoC (Los Angeles County),25-34,71
2019,CA-612,Glendale CoC (Los Angeles County),35-44,55
2019,CA-612,Glendale CoC (Los Angeles County),45-54,51
2019,CA-612,Glendale CoC (Los Angeles County),55-64,57
2019,CA-612,Glendale CoC (Los Angeles County),65+,21
2019,CA-612,Glendale CoC (Los Angeles County),Under 18,179
2019,CA-612,Glendale CoC (Los Angeles County),Unknown,*
2019,CA-613,Imperial County CoC,18-24,70
2019,CA-613,Imperial County CoC,25-34,115
2019,CA-613,Imperial County CoC,35-44,100
2019,CA-613,Imperial County CoC,45-54,90
2019,CA-613,Imperial County CoC,55-64,82
2019,CA-613,Imperial County CoC,65+,41
2019,CA-613,Imperial County CoC,Under 18,299
2019,CA-613,Imperial County CoC,Unknown,21
2019,CA-614,San Luis Obispo County CoC,18-24,150
2019,CA-614,San Luis Obispo County CoC,25-34,346
2019,CA-614,San Luis Obispo County CoC,35-44,281
2019,CA-614,San Luis Obispo County CoC,45-54,290
2019,CA-614,San Luis Obispo County CoC,55-64,254
2019,CA-614,San Luis Obispo County CoC,65+,129
2019,CA-614,San Luis Obispo County CoC,Under 18,569
2019,CA-614,San Luis Obispo County CoC,Unknown,43
2020,All,California,18-24,19942
2020,All,California,25-34,40744
2020,All,California,35-44,40340
2020,All,California,45-54,38403
2020,All,California,55-64,37665
2020,All,California,65+,15256
2020,All,California,Under 18,55074
2020,All,California,Unknown,8772
2020,CA-500,Santa Clara County CoC,18-24,827
2020,CA-500,Santa Clara County CoC,25-34,1728
2020,CA-500,Santa Clara County CoC,35-44,1880
2020,CA-500,Santa Clara County CoC,45-54,1833
2020,CA-500,Santa Clara County CoC,55-64,1885
2020,CA-500,Santa Clara County CoC,65+,865
2020,CA-500,Santa Clara County CoC,Under 18,2677
2020,CA-500,Santa Clara County CoC,Unknown,156
2020,CA-501,San Francisco CoC,18-24,1069
2020,CA-501,San Francisco CoC,25-34,1845
2020,CA-501,San Francisco CoC,35-44,1799
2020,CA-501,San Francisco CoC,45-54,1683
2020,CA-501,San Francisco CoC,55-64,1681
2020,CA-501,San Francisco CoC,65+,751
2020,CA-501,San Francisco CoC,Under 18,2731
2020,CA-501,San Francisco CoC,Unknown,176
2020,CA-502,Alameda County CoC,18-24,767
2020,CA-502,Alameda County CoC,25-34,1347
2020,CA-502,Alameda County CoC,35-44,1427
2020,CA-502,Alameda County CoC,45-54,1527
2020,CA-502,Alameda County CoC,55-64,1710
2020,CA-502,Alameda County CoC,65+,740
2020,CA-502,Alameda County CoC,Under 18,1738
2020,CA-502,Alameda County CoC,Unknown,96
2020,CA-503,Sacramento County CoC,18-24,993
2020,CA-503,Sacramento County CoC,25-34,1333
2020,CA-503,Sacramento County CoC,35-44,1290
2020,CA-503,Sacramento County CoC,45-54,1410
2020,CA-503,Sacramento County CoC,55-64,1549
2020,CA-503,Sacramento County CoC,65+,556
2020,CA-503,Sacramento County CoC,Under 18,3087
2020,CA-503,Sacramento County CoC,Unknown,150
2020,CA-504,Sonoma County CoC,18-24,320
2020,CA-504,Sonoma County CoC,25-34,523
2020,CA-504,Sonoma County CoC,35-44,599
2020,CA-504,Sonoma County CoC,45-54,710
2020,CA-504,Sonoma County CoC,55-64,671
2020,CA-504,Sonoma County CoC,65+,298
2020,CA-504,Sonoma County CoC,Under 18,679
2020,CA-504,Sonoma County CoC,Unknown,32
2020,CA-505,Contra Costa County CoC,18-24,431
2020,CA-505,Contra Costa County CoC,25-34,995
2020,CA-505,Contra Costa County CoC,35-44,1050
2020,CA-505,Contra Costa County CoC,45-54,1018
2020,CA-505,Contra Costa County CoC,55-64,1178
2020,CA-505,Contra Costa County CoC,65+,496
2020,CA-505,Contra Costa County CoC,Under 18,1228
2020,CA-505,Contra Costa County CoC,Unknown,54
2020,CA-506,"Monterey, San Benito Counties CoC",18-24,155
2020,CA-506,"Monterey, San Benito Counties CoC",25-34,295
2020,CA-506,"Monterey, San Benito Counties CoC",35-44,347
2020,CA-506,"Monterey, San Benito Counties CoC",45-54,286
2020,CA-506,"Monterey, San Benito Counties CoC",55-64,323
